HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_06117.1,2,Q12872 P23511,SFSWAP NFYA
huMAP3_06118.1,2,Q8WTX7 Q9UL19 Q7L1V2,CASTOR1 PLAAT4 MON1B
huMAP3_06119.1,2,O94898 Q96JA1 Q99619,LRIG2 LRIG1 SPSB2
huMAP3_06120.1,2,Q6UB99 Q9BZK7 O15379 O60907 O75376 Q9BQ87 Q13227,ANKRD11 TBL1XR1 HDAC3 TBL1X NCOR1 TBL1Y GPS2
huMAP3_06121.1,2,P38936 P24385 P30279 P30281 Q8WWL7 P22674 P09769,CDKN1A CCND1 CCND2 CCND3 CCNB3 CCNO FGR
huMAP3_06122.1,2,Q96PL2 Q15269 Q8IZH2,TECTB PWP2 XRN1
huMAP3_06123.1,2,Q13021 Q9Y624,MALL F11R
huMAP3_06124.1,2,Q96QD8 Q9BQB6 P51798,SLC38A2 VKORC1 CLCN7
huMAP3_06125.1,2,P23528 P60981,CFL1 DSTN
huMAP3_06126.1,2,Q3B8N2 Q6DKI2 Q8N697 Q9Y666 Q9Y6M5 O00182 P23634 Q9Y6M7 O15439 P51790 Q7Z3C6,LGALS9B LGALS9C SLC15A4 SLC12A7 SLC30A1 LGALS9 ATP2B4 SLC4A7 ABCC4 CLCN3 ATG9A
huMAP3_06127.1,2,P09429 P23497,HMGB1 SP100
huMAP3_06128.1,2,P07998 Q9UL59 Q9UBR4 Q9UJT2,RNASE1 ZNF214 LHX3 TSKS
huMAP3_06129.1,2,Q8N5G0 O60896 P62760 Q9Y2B2,SMIM20 RAMP3 VSNL1 PIGL
huMAP3_06130.1,2,Q9UK00 Q8TCG1 Q96ER3 Q9UI26 O15397 P25942,C3orf18 CIP2A SAAL1 IPO11 IPO8 CD40
huMAP3_06131.1,2,Q7L8S5 Q99679,OTUD6A GPR21
huMAP3_06132.1,2,Q6PIW4 Q5SW24,FIGNL1 DACT2
huMAP3_06133.1,2,P00156 P31930 O14949 P14927,MT-CYB UQCRC1 UQCRQ UQCRB
huMAP3_06134.1,2,O60476 P35626,MAN1A2 GRK3
huMAP3_06135.1,2,Q69YU3 Q8TEJ3 Q96B36 Q9H8N7 O43524 P61981,ANKRD34A SH3RF3 AKT1S1 ZNF395 FOXO3 YWHAG
huMAP3_06136.1,2,Q9UNS1 O75419 Q14691 Q9BRT9 Q9BRX5 Q9BVW5 Q9HAW4 Q9Y248 P25205,TIMELESS CDC45 GINS1 GINS4 GINS3 TIPIN CLSPN GINS2 MCM3
huMAP3_06137.1,2,Q9P2F8 Q8N475 Q9Y250,SIPA1L2 FSTL5 LZTS1
huMAP3_06138.1,2,Q8NAT1 Q13444 Q9Y2A9 P98153 Q92643 Q969N2 Q96EG1,POMGNT2 ADAM15 B3GNT3 DGCR2 PIGK PIGT ARSG
huMAP3_06139.1,2,O14523 Q9Y5E2 Q04912 Q8N394,C2CD2L PCDHB7 MST1R TMTC2
huMAP3_06140.1,2,Q9Y241 P40616,HIGD1A ARL1
huMAP3_06141.1,2,Q86WQ0 Q9HCM2 O75113 P12081 Q96LD1 Q02447,NR2C2AP PLXNA4 N4BP1 HARS1 SGCZ SP3
huMAP3_06142.1,2,Q08AN1 Q8IWT3,ZNF616 CUL9
huMAP3_06143.1,2,Q8IYI8 P57721 P98095,ZNF440 PCBP3 FBLN2
huMAP3_06144.1,2,P78537 Q6QNY0 Q6QNY1 Q8TDH9 Q9NUP1 Q9UL45 O95295 Q969J3 Q96B45 Q96EV8 Q5T0J7,BLOC1S1 BLOC1S3 BLOC1S2 BLOC1S5 BLOC1S4 BLOC1S6 SNAPIN BORCS5 BORCS7 DTNBP1 TEX35
huMAP3_06145.1,2,O15479 Q2TB10 Q5SVQ8 Q9HAN9 Q96MX3 Q9NVU7 Q8WY36,MAGEB2 ZNF800 ZBTB41 NMNAT1 ZNF48 SDAD1 BBX
huMAP3_06146.1,2,Q5TGY1 Q9Y664,TMCO4 KPTN
huMAP3_06147.1,2,Q86VR7 Q6UXB2 Q8NAU1 P15941 P27487 Q6XPR3,VSIG10L CXCL17 FNDC5 MUC1 DPP4 RPTN
huMAP3_06148.1,2,P28908 Q86XR8,TNFRSF8 CEP57
huMAP3_06149.1,2,P37173 Q969Z4,TGFBR2 RELT
huMAP3_06150.1,2,Q8TAP9 P13284 P19876 P53355 Q7Z3V4 Q6P1J6,MPLKIP IFI30 CXCL3 DAPK1 UBE3B PLB1
huMAP3_06151.1,2,O60403 Q08334,OR10H2 IL10RB
huMAP3_06152.1,2,P58753 Q99973,TIRAP TEP1
huMAP3_06153.1,2,Q5TZA2 Q86V48 P06753 P07951 P09493 P67936,CROCC LUZP1 TPM3 TPM2 TPM1 TPM4
huMAP3_06154.1,2,Q96PV7 P32249 Q53FV1 Q86YN1 Q6PL24 Q9Y4C0,FAM193B GPR183 ORMDL2 DOLPP1 TMED8 NRXN3
huMAP3_06155.1,2,Q8TE56 Q13296 Q76B58 P83110 Q5JPE7 Q969Y0,ADAMTS17 SCGB2A2 BRINP3 HTRA3 NOMO2 NXPE3
huMAP3_06156.1,2,Q96HV5 O43196,TMEM41A MSH5
huMAP3_06157.1,2,O95461 P10253,LARGE1 GAA
huMAP3_06158.1,2,Q8WVJ9 Q96RJ6 Q02577 Q6XD76 Q99081 P23409 P41134 Q02363,TWIST2 FERD3L NHLH2 ASCL4 TCF12 MYF6 ID1 ID2
huMAP3_06159.1,2,O75031 Q8IUD6 Q0VDD7,HSF2BP RNF135 BRME1
huMAP3_06160.1,2,Q8N307 Q96T37,MUC20 RBM15
huMAP3_06161.1,2,O60765 Q9UL36 P39019 Q9HB58,ZNF354A ZNF236 RPS19 SP110
huMAP3_06162.1,2,Q8TDX6 Q13228 A0PJE2 O95147 P33764 Q5JW98 Q6MZM0 Q8NI17 Q8TF66 Q9H255 Q9Y4K1 P51178 Q86SG7 Q86SJ6 Q9Y3R4,CSGALNACT1 SELENBP1 DHRS12 DUSP14 S100A3 CALHM4 HEPHL1 IL31RA LRRC15 OR51E2 CRYBG1 PLCD1 LYG2 DSG4 NEU2
huMAP3_06163.1,2,P03923 Q8IVU1 Q9UMR7 O75325 P11362 P21802 P22607 Q01973 Q9BX67,MT-ND6 IGDCC3 CLEC4A LRRN2 FGFR1 FGFR2 FGFR3 ROR1 JAM3
huMAP3_06164.1,2,O95985 P51114 Q06787,TOP3B FXR1 FMR1
huMAP3_06165.1,2,Q9H609 Q9NUA8 O96006,ZNF576 ZBTB40 ZBED1
huMAP3_06166.1,2,Q32NC0 Q6ZUI0 P20591,C18orf21 TPRG1 MX1
huMAP3_06167.1,2,Q5HYJ3 Q9H0W7,FAM76B THAP2
huMAP3_06168.1,2,Q8N752 Q96FA3 O15151,CSNK1A1L PELI1 MDM4
huMAP3_06169.1,2,O00238 P48029 Q86W33,BMPR1B SLC6A8 TPRA1
huMAP3_06170.1,2,P43007 Q14435 Q8NBI6 Q9BW60 O75093 P28222,SLC1A4 GALNT3 XXYLT1 ELOVL1 SLIT1 HTR1B
huMAP3_06171.1,2,A1L020 Q6UWR7 Q6ZN04 Q9NZJ4,MEX3A ENPP6 MEX3B SACS
huMAP3_06172.1,2,P78381 Q8WW62 Q9Y561,SLC35A2 TMED6 LRP12
huMAP3_06173.1,2,O75541 Q8NHZ7 Q9H165,ZNF821 MBD3L2 BCL11A
huMAP3_06174.1,2,Q99714 Q7L0Y3 Q9H1N7,HSD17B10 TRMT10C SLC35B3
huMAP3_06175.1,2,Q92949 Q9NYA4 P48380,FOXJ1 MTMR4 RFX3
huMAP3_06176.1,2,O00626 O75164 Q6V1X1,CCL22 KDM4A DPP8
huMAP3_06177.1,2,O14503 Q5MJ09 P30304 P31629 Q6ZNC4 Q712K3 Q9UKB1 P49427 Q01664 Q86T82 Q9Y266 Q9Y297,BHLHE40 SPANXN3 CDC25A HIVEP2 ZNF704 UBE2R2 FBXW11 CDC34 TFAP4 USP37 NUDC BTRC
huMAP3_06178.1,2,Q8NFP7 O95989,NUDT10 NUDT3
huMAP3_06179.1,2,P62070 P62834 Q9Y3L5 P10301 P60763,RRAS2 RAP1A RAP2C RRAS RAC3
huMAP3_06180.1,2,P20963 Q9HD26,CD247 GOPC
huMAP3_06181.1,2,Q96HT8 Q969G5 Q9Y605,MRFAP1L1 CAVIN3 MRFAP1
huMAP3_06182.1,2,Q9NX47 Q9UGF7 Q9UGQ2,MARCHF5 OR12D3 CACFD1
huMAP3_06183.1,2,Q7RTS1 Q8WYQ3,BHLHA15 CHCHD10
huMAP3_06184.1,2,P51649 Q96EK6 Q9Y3D2,ALDH5A1 GNPNAT1 MSRB2
huMAP3_06185.1,2,Q6UB99 Q9BZK7 O15379 O60907 O75376 Q6ZQQ6 Q9BQ87 Q9Y618 Q13227,ANKRD11 TBL1XR1 HDAC3 TBL1X NCOR1 WDR87 TBL1Y NCOR2 GPS2
huMAP3_06186.1,2,Q06190 Q9UK33 Q6FHJ7 Q9UGP4 A6NIX2,PPP2R3A ZNF580 SFRP4 LIMD1 WTIP
huMAP3_06187.1,2,P39656 Q9H0U3 P04843 P51571,DDOST MAGT1 RPN1 SSR4
huMAP3_06188.1,2,P80217 P09543 Q13287,IFI35 CNP NMI
huMAP3_06189.1,2,Q53GQ0 Q9NS69 Q96NB2,HSD17B12 TOMM22 SFXN2
huMAP3_06190.1,2,O00339 P02656 P19827 P35443 Q8N142 P00747,MATN2 APOC3 ITIH1 THBS4 ADSS1 PLG
huMAP3_06191.1,2,Q8N752 P48729 Q5T0L3 O15151,CSNK1A1L CSNK1A1 SPATA46 MDM4
huMAP3_06192.1,2,Q1KMD3 P09651 Q99729 Q9NZB2 Q9Y6M1 Q15717 Q12905 Q96KR1,HNRNPUL2 HNRNPA1 HNRNPAB FAM120A IGF2BP2 ELAVL1 ILF2 ZFR
huMAP3_06193.1,2,Q14512 Q8N567,FGFBP1 ZCCHC9
huMAP3_06194.1,2,Q8IXB1 Q8N2S1 Q9NS15 Q9UBX5,DNAJC10 LTBP4 LTBP3 FBLN5
huMAP3_06195.1,2,Q8IX12 Q8N302,CCAR1 AGGF1
huMAP3_06196.1,2,P0CB38 Q9ULR5 Q8TB72,PABPC4L PAIP2B PUM2
huMAP3_06197.1,2,Q9UM01 P63267 Q969P0 P60033 Q13938 P21926,SLC7A7 ACTG2 IGSF8 CD81 CAPS CD9
huMAP3_06198.1,2,Q00325 P05023 P60468,SLC25A3 ATP1A1 SEC61B
huMAP3_06199.1,2,O95568 P29083 P55899 P15812,METTL18 GTF2E1 FCGRT CD1E
huMAP3_06200.1,2,Q6ZN19 Q86XN6 Q969M7 P04637 Q14999 Q8IWT3 Q9BV20,ZNF841 ZNF761 UBE2F TP53 CUL7 CUL9 MRI1
huMAP3_06201.1,2,Q8ND56 Q9Y2H6 Q8NC56,LSM14A FNDC3A LEMD2
huMAP3_06202.1,2,P0DPB3 Q92913,SCHIP1 FGF13
huMAP3_06203.1,2,P48539 P54793,PCP4 ARSF
huMAP3_06204.1,2,Q5BJH2 Q15762,TMEM128 CD226
huMAP3_06205.1,2,Q3SY17 O94991 Q6P5W5 Q96AN5 Q9Y5T4 Q7Z7B1,SLC25A52 SLITRK5 SLC39A4 TMEM143 DNAJC15 PIGW
huMAP3_06206.1,2,Q6UW78 O60762,UQCC3 DPM1
huMAP3_06207.1,2,Q02252 P05091,ALDH6A1 ALDH2
huMAP3_06208.1,2,P51668 P61077 Q96BH1,UBE2D1 UBE2D3 RNF25
huMAP3_06209.1,2,P54727 Q96S82,RAD23B UBL7
huMAP3_06210.1,2,Q8WZ71 Q68CP4 Q05586 Q96FT7 Q9UN88 O75460,TMEM158 HGSNAT GRIN1 ASIC4 GABRQ ERN1
huMAP3_06211.1,2,Q13705 P29317 Q04771,ACVR2B EPHA2 ACVR1
huMAP3_06212.1,2,Q9BYD9 O60925 Q9H2J4,ACTRT3 PFDN1 PDCL3
huMAP3_06213.1,2,P52799 O75056,EFNB2 SDC3
huMAP3_06214.1,2,Q9HAP2 Q9UH92,MLXIP MLX
huMAP3_06215.1,2,Q7Z4S6 Q63ZY3 Q8N163,KIF21A KANK2 CCAR2
huMAP3_06216.1,2,Q05D32 Q8TDR2,CTDSPL2 STK35
huMAP3_06217.1,2,P52306 Q9NQW7 P61224 P60763 P61586,RAP1GDS1 XPNPEP1 RAP1B RAC3 RHOA
huMAP3_06218.1,2,Q05707 P14780,COL14A1 MMP9
huMAP3_06219.1,2,Q9Y383 O00422 Q9UKV3 Q9Y3X0 P30414 P49760 Q13427,LUC7L2 SAP18 ACIN1 CCDC9 NKTR CLK2 PPIG
huMAP3_06220.1,2,P0CG41 Q86UF2 Q96RT6 Q4KMQ2 Q5JRA6 Q96PC5,CTAGE8 CTAGE6 CTAGE1 ANO6 MIA3 MIA2
huMAP3_06221.1,2,Q96DT0 P05556 P53708 Q15262,LGALS12 ITGB1 ITGA8 PTPRK
huMAP3_06222.1,2,Q9BRX8 P32926,PRXL2A DSG3
huMAP3_06223.1,2,Q3SY17 Q9NVM1,SLC25A52 EVA1B
huMAP3_06224.1,2,Q6IBW4 Q96NU1 Q7Z628 Q12816,NCAPH2 SAMD11 NET1 TRO
huMAP3_06225.1,2,Q86YW5 P05062,TREML1 ALDOB
huMAP3_06226.1,2,Q08AD1 A1L190 Q2M2Z5,CAMSAP2 SYCE3 KIZ
huMAP3_06227.1,2,P98155 Q9ULC4 P21579,VLDLR MCTS1 SYT1
huMAP3_06228.1,2,O60235 Q86VR7 Q6UXB2 Q8NAU1 P27487 Q6XPR3,TMPRSS11D VSIG10L CXCL17 FNDC5 DPP4 RPTN
huMAP3_06229.1,2,Q32M45 Q4KMQ2,ANO4 ANO6
huMAP3_06230.1,2,O00203 O14617 Q13367 Q92572,AP3B1 AP3D1 AP3B2 AP3S1
huMAP3_06231.1,2,O75717 Q9NS85,WDHD1 CA10
huMAP3_06232.1,2,Q9C0H5 Q6P9H4 Q9BYL1,ARHGAP39 CNKSR3 SAMD10
huMAP3_06233.1,2,Q14865 Q8N257 Q3T8J9 Q7Z3K6 Q8TBE0 P09455,ARID5B H2BC26 GON4L MIER3 BAHD1 RBP1
huMAP3_06234.1,2,Q6P1J9 Q14241 Q6PD62,CDC73 ELOA CTR9
huMAP3_06235.1,2,Q5MJ10 P53804,SPANXN2 TTC3
huMAP3_06236.1,2,Q15223 Q9NQS3,NECTIN1 NECTIN3
huMAP3_06237.1,2,Q9UN67 Q5BJF2 Q9UN66 Q9Y5E1 Q9Y5E5 Q9Y5E6,PCDHB10 TMEM97 PCDHB8 PCDHB9 PCDHB4 PCDHB3
huMAP3_06238.1,2,Q13263 Q15973 Q2M3X9 Q5JUW0 Q6P1L6 Q7Z2F6,TRIM28 ZNF124 ZNF674 KRBOX4 ZNF343 KRBOX5
huMAP3_06239.1,2,Q06432 Q86V21,CACNG1 AACS
huMAP3_06240.1,2,Q8N2F6 Q9UF56 Q9UH77,ARMC10 FBXL17 KLHL3
huMAP3_06241.1,2,Q8N5S1 Q9H7P6 P17677 P19086 Q96BJ3 P12931,SLC25A41 MVB12B GAP43 GNAZ AIDA SRC
huMAP3_06242.1,2,P10073 P17040 Q63HK3 Q8IWY8 Q969J2 O14771 P49910,ZSCAN22 ZSCAN20 ZKSCAN2 ZSCAN29 ZKSCAN4 ZNF213 ZNF165
huMAP3_06243.1,2,A6NNT2 P62993 Q07890 P22681,C16orf96 GRB2 SOS2 CBL
huMAP3_06244.1,2,Q99624 O60683 Q5TF21 Q9NY72 Q9UKR5 P40394,SLC38A3 PEX10 MTCL3 SCN3B ERG28 ADH7
huMAP3_06245.1,2,Q96CF2 Q9H0Q0 Q9NUQ9,CHMP4C CYRIA CYRIB
huMAP3_06246.1,2,P55000 Q13214 Q96GA7,SLURP1 SEMA3B SDSL
huMAP3_06247.1,2,O95772 Q8N0U8 Q96BI1 Q9H061 Q9NX61 Q9Y519 P61619 Q8NEW0 Q99720 Q9H2H9 Q9H7F0 O14828 O15120 O15127 O15321 O75947 O75964 P16615 P22695 P24390 P24539 P30825 P48651 P56134 P57088 P60604 Q15392 Q8NF37 Q92604 Q9BUB7 Q9BVG9 Q9BXW9 Q9H583 Q9HD45 O15260 O60488 P33527 P46977 Q15070 Q15386 Q15629 Q53EU6 Q6N075 Q8WUY1 Q92973 Q96G23 Q9BRR3 Q9GZM5 Q9GZP9 Q9P035 Q9UBM7 Q9UM00 Q9Y4R8 Q9Y6K0 O14681 O95427 O95674 P04844 Q8TCT9 Q99653 Q9NWW5 Q9UKV5 Q9Y679 O00767 Q5T9L3,STARD3NL VKORC1L1 SLC22A18 TMEM126A TMEM161A TMEM184B SEC61A1 SLC30A7 SIGMAR1 SLC38A1 ATP13A3 SCAMP3 AGPAT2 SCAMP2 TM9SF1 ATP5PD ATP5MG ATP2A2 UQCRC2 KDELR1 ATP5PB SLC7A1 PTDSS1 ATP5MF TMEM33 UBE2G2 DHCR24 LPCAT1 LPGAT1 TMEM70 PTDSS2 FANCD2 HEATR1 TM9SF3 SURF4 ACSL4 ABCC1 STT3A OXA1L UBE3C TRAM1 GPAT3 MFSD5 THEM6 TNPO1 CERS2 PGAP4 YIPF3 DERL2 HACD3 DHCR7 TMCO1 TELO2 CEPT1 EI24 PIGN CDS2 RPN2 HM13 CHP1 CLN6 AMFR AUP1 SCD WLS
huMAP3_06248.1,2,Q00537 Q07002 Q8NA56,CDK17 CDK18 TTC29
huMAP3_06249.1,2,Q9BW60 P38435,ELOVL1 GGCX
huMAP3_06250.1,2,Q8N4W6 Q9H330 O95274 Q9BZM5 Q7Z404 Q96S52 Q9H490,DNAJC22 TMEM245 LYPD3 ULBP2 TMC4 PIGS PIGU
huMAP3_06251.1,2,O94966 P49810 Q14653,USP19 PSEN2 IRF3
huMAP3_06252.1,2,O15357 Q7L3V2 Q92748,INPPL1 RTL10 THRSP
huMAP3_06253.1,2,Q6IPM2 Q8WZ73,IQCE RFFL
huMAP3_06254.1,2,Q9NR28 O43464 P09341 Q12933 Q13077 Q13489 Q14164 Q92844 Q9UHD2,DIABLO HTRA2 CXCL1 TRAF2 TRAF1 BIRC3 IKBKE TANK TBK1
huMAP3_06255.1,2,Q2KHM9 Q96DN5 Q96M89 Q49A88 Q5T9S5 Q5VT06 Q8N0Z3 Q9BR77 Q9P2S5 Q9Y2D8 Q9Y6R9 O95684 Q1MSJ5 Q4AC94 Q5JTW2 Q6EMB2 Q7L590 Q8WXW3 Q96GE4 Q96NB1 Q9P209 O75665,KIAA0753 TBC1D31 CCDC138 CCDC14 CCDC18 CEP350 SPICE1 CCDC77 WRAP73 SSX2IP CCDC61 CEP43 CSPP1 C2CD3 CEP78 TTLL5 MCM10 PIBF1 CEP95 CEP20 CEP72 OFD1
huMAP3_06256.1,2,Q15012 P35504 Q8TAQ9,LAPTM4A UGT1A5 SUN3
huMAP3_06257.1,2,Q9NRX4 Q9Y2I2 O75208 P0DJD7 P36915 P49247,PHPT1 NTNG1 COQ9 PGA4 GNL1 RPIA
huMAP3_06258.1,2,Q96GL9 Q9NXH8 Q32P28,FAM163A TOR4A P3H1
huMAP3_06259.1,2,P10153 P34096 P17483 P31267 Q00056 P13489,RNASE2 RNASE4 HOXB4 HOXA6 HOXA4 RNH1
huMAP3_06260.1,2,Q7Z3E2 Q96N21,CCDC186 TEPSIN
huMAP3_06261.1,2,Q14973 Q8NC26 Q9NWM3 Q5JTB6,SLC10A1 ZNF114 CUEDC1 PLAC9
huMAP3_06262.1,2,O95260 Q9BYZ8,ATE1 REG4
huMAP3_06263.1,2,Q9Y241 Q9UDR5,HIGD1A AASS
huMAP3_06264.1,2,P13995 P09110,MTHFD2 ACAA1
huMAP3_06265.1,2,Q6ZUM4 Q8IWW6 P52952 Q9BYB0 Q9ULH1 Q9ULL5,ARHGAP27 ARHGAP12 NKX2-5 SHANK3 ASAP1 PRR12
huMAP3_06266.1,2,Q9NUT2 Q9Y2T6,ABCB8 GPR55
huMAP3_06267.1,2,Q5T5S1 P04637 Q14999 Q8IWT3,CCDC183 TP53 CUL7 CUL9
huMAP3_06268.1,2,O76054 Q5MJ10,SEC14L2 SPANXN2
huMAP3_06269.1,2,A6ND36 Q8NHQ8 O43379 O60333 P56524 Q8TEW0 Q8WUI4 P04049 P10398 Q32P44,FAM83G RASSF8 WDR62 KIF1B HDAC4 PARD3 HDAC7 RAF1 ARAF EML3
huMAP3_06270.1,2,O15060 Q8N6M6,ZBTB39 AOPEP
huMAP3_06271.1,2,Q9NYY8 Q6P087 O75127 Q96I51 Q9NUL7 O75414 Q3MUY2 Q8IVS2 Q9NPE2,FASTKD2 RPUSD3 PTCD1 RCC1L DDX28 NME6 PIGY MCAT NGRN
huMAP3_06272.1,2,Q8WV35 Q9NZ71,SPECIALin_UniProt_but_no_gene RTEL1
huMAP3_06273.1,2,O75791 P40818 Q9UQC2,GRAP2 USP8 GAB2
huMAP3_06274.1,2,Q1W6H9 P49674 Q9P2F5,FAM110C CSNK1E STOX2
huMAP3_06275.1,2,O43505 O95490 P78334 Q96K12,B4GAT1 ADGRL2 GABRE FAR2
huMAP3_06276.1,2,Q6ZN17 Q9Y5L5 P16402,LIN28B LENEP H1-3
huMAP3_06277.1,2,Q03405 Q13751,PLAUR LAMB3
huMAP3_06278.1,2,O75419 Q14691 Q9BRX5 Q9Y248,CDC45 GINS1 GINS3 GINS2
huMAP3_06279.1,2,O60281 O00458 Q5T2E6 Q9H8M9 A2RU49 P02724,ZNF292 IFRD1 ARMH3 EVA1A HYKK GYPA
huMAP3_06280.1,2,P48357 P41159,LEPR LEP
huMAP3_06281.1,2,Q709C8 Q7Z7G8 Q96RL7 Q99615 Q14667 Q6NSI4,VPS13C VPS13B VPS13A DNAJC7 BLTP2 RADX
huMAP3_06282.1,2,Q6NSX1 Q9HCD5 Q9NWH9,CCDC70 NCOA5 SLTM
huMAP3_06283.1,2,Q9P1Z2 Q59EK9 Q9UBC2 Q15311 Q8NC96 Q9BV29 Q9NVZ3 O94973 O95782 P42566 P53680 P63010 Q0JRZ9 Q15811 Q6PD74 Q8WXE9 Q96CW1 Q9BQI5 Q9NZM3,CALCOCO1 RUNDC3A EPS15L1 RALBP1 NECAP1 CCDC32 NECAP2 AP2A2 AP2A1 EPS15 AP2S1 AP2B1 FCHO2 ITSN1 AAGAB STON2 AP2M1 SGIP1 ITSN2
huMAP3_06284.1,2,O75608 Q8N5S9 Q96F44 Q96MA1,LYPLA1 CAMKK1 TRIM11 DMRTB1
huMAP3_06285.1,2,Q86W50 Q9NUM3 O43761 Q9NPC4 Q9UDX5 Q9NRP0,METTL16 SLC39A9 SYNGR3 A4GALT MTFP1 OSTC
huMAP3_06286.1,2,P17032 Q13263 Q15973 Q2M3X9 Q5JUW0 Q7Z2F6,ZNF37A TRIM28 ZNF124 ZNF674 KRBOX4 KRBOX5
huMAP3_06287.1,2,Q9NTX7 Q9UGN5 Q14527 Q01831,RNF146 PARP2 HLTF XPC
huMAP3_06288.1,2,O15049 P55196 Q8NEY1,N4BP3 AFDN NAV1
huMAP3_06289.1,2,O75071 Q8IUY3 Q8IYS0 Q96CP6 Q96HH9 Q9NVH0,EFCAB14 GRAMD2A GRAMD1C GRAMD1A GRAMD2B EXD2
huMAP3_06290.1,2,A0AV02 Q14542 Q5SRH9 P21730 Q86WK9 Q9H6D3,SLC12A8 SLC29A2 TTC39A C5AR1 PAQR7 XKR8
huMAP3_06291.1,2,P30101 Q99445,PDIA3 GML
huMAP3_06292.1,2,Q53EZ4 Q9H7C4,CEP55 SYNC
huMAP3_06293.1,2,Q6UXF1 P09086 Q8TD22,TMEM108 POU2F2 SFXN5
huMAP3_06294.1,2,Q5JRV8 Q9H0M0,TMEM255A WWP1
huMAP3_06295.1,2,O95153 Q9BZW8 Q9Y6A1,TSPOAP1 CD244 POMT1
huMAP3_06296.1,2,Q0P6D6 Q96DX7 Q9Y577 Q05481 Q96NX9 Q9UI36,CCDC15 TRIM44 TRIM17 ZNF91 DACH2 DACH1
huMAP3_06297.1,2,O60506 Q07666 Q13151 O43390 Q14151,SYNCRIP KHDRBS1 HNRNPA0 HNRNPR SAFB2
huMAP3_06298.1,2,O15173 Q9Y4C4,PGRMC2 MFHAS1
huMAP3_06299.1,2,Q5VT25 Q8N5Z5 Q96GI7 Q9C000 Q9H5L6,CDC42BPA KCTD17 FAM89A NLRP1 THAP9
huMAP3_06300.1,2,O75582 O75676 P31152,RPS6KA5 RPS6KA4 MAPK4
huMAP3_06301.1,2,Q8NB46 Q05823 Q9NWT6 Q9P2R3 Q8WXK3,ANKRD52 RNASEL HIF1AN ANKFY1 ASB13
huMAP3_06302.1,2,Q14849 Q86TW2,STARD3 ADCK1
huMAP3_06303.1,2,O95409 Q9UJ70,ZIC2 NAGK
huMAP3_06304.1,2,Q96KQ4 Q99622 A6NKD9 O60927 Q13625 Q15834 Q6NYC8 Q7Z3T8 O95405 P36873 P62136 Q02833 Q12972 Q8WYN3 Q96S65 Q9H175 Q8IWU2 Q9HCD6 Q9UPR0 Q9UQ13 Q6PJW8,PPP1R13B C12orf57 CCDC85C PPP1R11 TP53BP2 CCDC85B PPP1R18 ZFYVE16 ZFYVE9 PPP1CC PPP1CA RASSF7 PPP1R8 CSRNP3 CSRNP1 CSRNP2 LMTK2 TANC2 PLCL2 SHOC2 CNST
huMAP3_06305.1,2,P00709 Q9P0Z9 P07498 Q8TE02 Q96EB1,LALBA PIPOX CSN3 ELP5 ELP4
huMAP3_06306.1,2,P27815 P49765 Q6PJG9,PDE4A VEGFB LRFN4
huMAP3_06307.1,2,Q7Z736 P36894,PLEKHH3 BMPR1A
huMAP3_06308.1,2,Q8IZA0 Q9HCM3 P50443 Q15223 Q8N697 Q9UHW9 Q9Y666 O00182 O00214 P17931 Q9P2B2 Q9Y6M7 P23470 P56199 Q13740 Q15262 Q5ZPR3 Q9Y6X5 P19256 Q9ULI3,KIAA0319L KIAA1549 SLC26A2 NECTIN1 SLC15A4 SLC12A6 SLC12A7 LGALS9 LGALS8 LGALS3 PTGFRN SLC4A7 PTPRG ITGA1 ALCAM PTPRK CD276 ENPP4 CD58 HEG1
huMAP3_06309.1,2,Q8ND82 Q9H5I1 Q68DI1 Q9P0T4 Q6IQ32 P45973 P83916 Q13185 Q9H410,ZNF280C SUV39H2 ZNF776 ZNF581 ADNP2 CBX5 CBX1 CBX3 DSN1
huMAP3_06310.1,2,Q8IV03 Q92974,LURAP1L ARHGEF2
huMAP3_06311.1,2,Q00535 Q14094,CDK5 CCNI
huMAP3_06312.1,2,Q6ZTN6 Q9NYL4,ANKRD13D FKBP11
huMAP3_06313.1,2,Q02790 Q9BQP7,FKBP4 MGME1
huMAP3_06314.1,2,Q9NY64 Q9Y512 Q9UPV9 O75431 Q16891 Q5TGI0,SLC2A8 SAMM50 TRAK1 MTX2 IMMT FAXC
huMAP3_06315.1,2,O95721 Q8NFX7 Q16623,SNAP29 STXBP6 STX1A
huMAP3_06316.1,2,Q8N5S1 Q9H7P6 P12931,SLC25A41 MVB12B SRC
huMAP3_06317.1,2,Q14145 Q4V339 Q8IUF1 Q9BRT8,KEAP1 ZNG1F ZNG1B ZNG1A
huMAP3_06318.1,2,P16260 Q96MM6 O60318 Q8IYU8 Q8TDB4 Q9BYT3,SLC25A16 HSPA12B MCM3AP MICU2 MGARP STK33
huMAP3_06319.1,2,Q9NXK8 P51570 P52701 Q9BRX2,FBXL12 GALK1 MSH6 PELO
huMAP3_06320.1,2,Q8IVD9 O60294 Q8WZ60 Q13939,NUDCD3 LCMT2 KLHL6 CCIN
huMAP3_06321.1,2,O95390 Q15084 O14793 Q2VWP7,GDF11 PDIA6 MSTN PRTG
huMAP3_06322.1,2,O14628 Q9Y574,ZNF195 ASB4
