HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_00053.1,1,P53801 Q5SQN1 O14662 O75379 P63027 Q9NRW7 O15400 O15498 Q99747 Q9H115 P46459,PTTG1IP SNAP47 STX16 VAMP4 VAMP2 VPS45 STX7 YKT6 NAPG NAPB NSF
huMAP3_00054.1,1,Q8IWE2 P43626 P43627,FAM114A1 KIR2DL1 KIR2DL2
huMAP3_00055.1,1,O94868 Q8WV41,FCHSD2 SNX33
huMAP3_00056.1,1,Q6ZTN6 Q96LA9,ANKRD13D MRGPRX4
huMAP3_00057.1,1,Q8IWA5 Q69YW2,SLC44A2 STUM
huMAP3_00058.1,1,Q8TBP5 Q9NUY8 P62760 Q9Y646,FAM174A TBC1D23 VSNL1 CPQ
huMAP3_00059.1,1,O15085 P52306 Q9NQW7 O43934 P08134 P61586,ARHGEF11 RAP1GDS1 XPNPEP1 MFSD11 RHOC RHOA
huMAP3_00060.1,1,P00846 P03928 P30049 Q5T4F4 Q8NBI5 Q9UII2 O75947 P18859 P24539,MT-ATP6 MT-ATP8 ATP5F1D ZFYVE27 SLC43A3 ATP5IF1 ATP5PD ATP5PF ATP5PB
huMAP3_00061.1,1,Q504U0 Q01850,C4orf46 CDR2
huMAP3_00062.1,1,Q9Y698 Q92887,CACNG2 ABCC2
huMAP3_00063.1,1,Q9H4H8 O95789 P02489 O95817,FAM83D ZMYM6 CRYAA BAG3
huMAP3_00064.1,1,O75563 Q5VWT5,SKAP2 FYB2
huMAP3_00065.1,1,Q9Y6Y8 O94855 Q15436 Q15437,SEC23IP SEC24D SEC23A SEC23B
huMAP3_00066.1,1,Q5SRH9 O00590,TTC39A ACKR2
huMAP3_00067.1,1,Q96AZ1 Q9UGR2 Q9UJJ7 O95239 Q86UV5 P23743 Q14451 Q6ZS11 Q99504 Q9Y3S1,EEF1AKMT3 ZC3H7B RPUSD1 KIF4A USP48 DGKA GRB7 RINL EYA3 WNK2
huMAP3_00068.1,1,Q8N1F8 Q9BQG2 A3KMH1 O60938 Q13867,STK11IP NUDT12 VWA8 KERA BLMH
huMAP3_00069.1,1,Q9H2H9 Q96AA3,SLC38A1 RFT1
huMAP3_00070.1,1,O43157 Q96AZ6,PLXNB1 ISG20
huMAP3_00071.1,1,Q9BS92 Q9UFN0 Q7Z3D6 P83111,NIPSNAP3B NIPSNAP3A DGLUCY LACTB
huMAP3_00072.1,1,P22415 Q15853,USF1 USF2
huMAP3_00073.1,1,Q5VV52 O60383,ZNF691 GDF9
huMAP3_00074.1,1,P58166 P00734,INHBE F2
huMAP3_00075.1,1,Q9UEU5 Q96JM2 Q9H582 Q8WTP9 Q96KQ7 Q9H9B1 Q9H2P0,GAGE2D;GAGE8 ZNF462 ZNF644 XAGE3 EHMT2 EHMT1 ADNP
huMAP3_00076.1,1,O95789 Q8IX12,ZMYM6 CCAR1
huMAP3_00077.1,1,P42226 Q15788,STAT6 NCOA1
huMAP3_00078.1,1,P78537 Q969J3 Q96FH0 Q5T0J7,BLOC1S1 BORCS5 BORCS8 TEX35
huMAP3_00079.1,1,Q13490 P08651,BIRC2 NFIC
huMAP3_00080.1,1,Q12923 P41220,PTPN13 RGS2
huMAP3_00081.1,1,Q9H0X4 Q7Z6L0 Q6PP77,FAM234A PRRT2 XKRX
huMAP3_00082.1,1,Q13541 A6NMX2 P06730,EIF4EBP1 EIF4E1B EIF4E
huMAP3_00083.1,1,Q96BM0 Q86XP3 Q9Y5N6,IFI27L1 DDX42 ORC6
huMAP3_00084.1,1,Q07011 Q8TBR7 Q9P0S2,TNFRSF9 TLCD3A COX16
huMAP3_00085.1,1,Q6PIL6 Q9NS61 Q9NZI2 Q9Y2W7,KCNIP4 KCNIP2 KCNIP1 KCNIP3
huMAP3_00086.1,1,Q96L12 Q9BXT5,CALR3 TEX15
huMAP3_00087.1,1,P10114 P61225 Q9UJA5,RAP2A RAP2B TRMT6
huMAP3_00088.1,1,P49419 P40617 P49703,ALDH7A1 ARL4A ARL4D
huMAP3_00089.1,1,Q14185 Q8N1I0 Q92556 Q92608 Q96BJ8 Q96JJ3 P15153,DOCK1 DOCK4 ELMO1 DOCK2 ELMO3 ELMO2 RAC2
huMAP3_00090.1,1,P49450 Q8NCD3,CENPA HJURP
huMAP3_00091.1,1,Q5HYJ3 Q96HJ3,FAM76B CCDC34
huMAP3_00092.1,1,P10144 P23946,GZMB CMA1
huMAP3_00093.1,1,Q9NP64 Q8N5F7,ZCCHC17 NKAP
huMAP3_00094.1,1,O60231 Q92917,DHX16 GPKOW
huMAP3_00095.1,1,Q8IYU8 Q9BPX6,MICU2 MICU1
huMAP3_00096.1,1,P08263 P09210 Q16772 Q7RTV2 Q9NXP7,GSTA1 GSTA2 GSTA3 GSTA5 GIN1
huMAP3_00097.1,1,Q8IVW1 Q96NL1 P11678,ARL17A;ARL17B TMEM74 EPX
huMAP3_00098.1,1,Q969J5 O00442,IL22RA2 RTCA
huMAP3_00099.1,1,Q9H972 Q8ND30,C14orf93 PPFIBP2
huMAP3_00100.1,1,Q8TCA0 P62736,LRRC20 ACTA2
huMAP3_00101.1,1,O75363 Q86UU5,BCAS1 GGN
huMAP3_00102.1,1,Q6UN15 O15460 O95639 P13674 P33240 Q05048 Q10570 Q12996 Q9C0J8 Q9P2I0 Q9UKF6 P07237,FIP1L1 P4HA2 CPSF4 P4HA1 CSTF2 CSTF1 CPSF1 CSTF3 WDR33 CPSF2 CPSF3 P4HB
huMAP3_00103.1,1,Q9Y2J2 P11171,EPB41L3 EPB41
huMAP3_00104.1,1,A8MVW5 Q9UHF4 Q9UHQ9,HEPACAM2 IL20RA CYB5R1
huMAP3_00105.1,1,P08910 Q9UJQ1,ABHD2 LAMP5
huMAP3_00106.1,1,Q8N5S9 Q92539 Q9BQK8,CAMKK1 LPIN2 LPIN3
huMAP3_00107.1,1,Q07973 Q92506 Q5VX71 Q96EN8 Q8N4T8,CYP24A1 HSD17B8 SUSD4 MOCOS CBR4
huMAP3_00108.1,1,P40199 Q8TEB9,CEACAM6 RHBDD1
huMAP3_00109.1,1,Q86WK7 Q8N3Z3,AMIGO3 GTPBP8
huMAP3_00110.1,1,B9A064 P15814,IGLL5 IGLL1
huMAP3_00111.1,1,O15392 Q53HL2,BIRC5 CDCA8
huMAP3_00112.1,1,Q8IZD6 O00562 P22059 Q9P0L0,SLC22A15 PITPNM1 OSBP VAPA
huMAP3_00113.1,1,O60658 O95263,PDE8A PDE8B
huMAP3_00114.1,1,P03928 Q9NYV8,MT-ATP8 TAS2R14
huMAP3_00115.1,1,Q9Y6J0 Q8IWY9 Q96HA7 Q9NVP2 Q9Y294 Q9Y2V0 P54198 Q6ZU65 Q8TEX9 Q9NPG3 Q9UKI8,CABIN1 CDAN1 TONSL ASF1B ASF1A CDIN1 HIRA UBN2 IPO4 UBN1 TLK1
huMAP3_00116.1,1,Q3SXM0 O94826,DCAF4L1 TOMM70
huMAP3_00117.1,1,Q13442 Q9Y224 P35659,PDAP1 RTRAF DEK
huMAP3_00118.1,1,Q13885 Q8WXG6,TUBB2A MADD
huMAP3_00119.1,1,Q9P1T7 P01730,MDFIC CD4
huMAP3_00120.1,1,P23352 Q63HK5,ANOS1 TSHZ3
huMAP3_00121.1,1,Q9Y6A4 Q8IZL9,CFAP20 CDK20
huMAP3_00122.1,1,O75712 O95377,GJB3 GJB5
huMAP3_00123.1,1,Q6P995 P15735 P46019 P46020 Q16816 Q93100,FAM171B PHKG2 PHKA2 PHKA1 PHKG1 PHKB
huMAP3_00124.1,1,O00479 O75531 Q96T23,HMGN4 BANF1 RSF1
huMAP3_00125.1,1,P01189 Q16254,POMC E2F4
huMAP3_00126.1,1,Q6ZSC3 Q8TDB6,RBM43 DTX3L
huMAP3_00127.1,1,O15480 P43355 Q8N7X4 Q9Y620 P78413,MAGEB3 MAGEA1 MAGEB6 RAD54B IRX4
huMAP3_00128.1,1,Q3KPI0 O75899 Q9NZ53 P54753,CEACAM21 GABBR2 PODXL2 EPHB3
huMAP3_00129.1,1,P78348 Q16515,ASIC1 ASIC2
huMAP3_00130.1,1,Q96BM9 Q9NVJ2 Q9NZD8 Q3LXA3,ARL8A ARL8B SPG21 TKFC
huMAP3_00131.1,1,Q9H4I8 P13473 Q8TD22,SERHL2 LAMP2 SFXN5
huMAP3_00132.1,1,P78552 P24394 P35225,IL13RA1 IL4R IL13
huMAP3_00133.1,1,A6NIL8 Q9UQ88 Q13451 Q15831 Q16543 Q96Q40 Q9BXA6 O15111,SPECIALin_UniProt_but_no_gene CDK11A FKBP5 STK11 CDC37 CDK15 TSSK6 CHUK
huMAP3_00134.1,1,P42356 Q9BYI3,PI4KA HYCC1
huMAP3_00135.1,1,P33908 Q9NX62,MAN1A1 BPNT2
huMAP3_00136.1,1,Q14865 Q96A08,ARID5B H2BC1
huMAP3_00137.1,1,Q5JSP0 Q96M96,FGD3 FGD4
huMAP3_00138.1,1,Q96PX6 Q99728,CCDC85A BARD1
huMAP3_00139.1,1,Q5HYK7 Q96HL8,SH3D19 SH3YL1
huMAP3_00140.1,1,Q9NRN5 O15229,OLFML3 KMO
huMAP3_00141.1,1,P58215 Q02086,LOXL3 SP2
huMAP3_00142.1,1,Q8IZQ5 Q9BYZ6 P52952 Q86VH5 Q9UKT8 Q9Y4X5,SELENOH RHOBTB2 NKX2-5 LRRTM3 FBXW2 ARIH1
huMAP3_00143.1,1,P10073 Q63HK3 Q9H4T2 Q9NX65,ZSCAN22 ZKSCAN2 ZSCAN16 ZSCAN32
huMAP3_00144.1,1,Q7Z6G8 Q5VSY0 Q8WYP3 Q7LC44,ANKS1B GKAP1 RIN2 ARC
huMAP3_00145.1,1,Q15345 Q8WWA0 P43307,LRRC41 ITLN1 SSR1
huMAP3_00146.1,1,O95721 Q16623,SNAP29 STX1A
huMAP3_00147.1,1,Q8NBM8 Q86WC4 Q8WXA2,PCYOX1L OSTM1 PATE1
huMAP3_00148.1,1,Q9NZP8 P00736 P09871,C1RL C1R C1S
huMAP3_00149.1,1,O95299 O95168,NDUFA10 NDUFB4
huMAP3_00150.1,1,Q86XA0 Q9UMS4 P13994 Q9GZR1 Q92733 Q96DF8,METTL23 PRPF19 YJU2B SENP6 PRCC ESS2
huMAP3_00151.1,1,Q96EW2 Q9NUJ1,HSPBAP1 ABHD10
huMAP3_00152.1,1,Q96LI9 P49639 Q8NF64,CXorf58 HOXA1 ZMIZ2
huMAP3_00153.1,1,Q5EBL4 Q8TDV5 Q8IY22,RILPL1 GPR119 CMIP
huMAP3_00154.1,1,Q9BTE3 P25205 P33991 P49736 Q14566,MCMBP MCM3 MCM4 MCM2 MCM6
